,id,name,league,rank,rank_percentage
253,georgpa01,Paul George,nba,73.57142857142857,15.410053763729053
254,loveke01,Kevin Love,nba,71.44444444444444,15.441987448603518
255,streima01,Mark Streit,nhl,135.8181818181818,15.506790163309352
256,schnema01,Mathieu Schneider,nhl,119.95238095238095,15.540744724897102
257,visnolu01,Lubomir Visnovsky,nhl,137.21428571428572,15.591591216611038
258,5417,Jose Altuve,mlb,202.57142857142858,15.594723968836089
259,stlouma01,Martin St. Louis,nhl,132.25,15.605986189014912
260,charazd01,Zdeno Chara,nhl,131.47368421052633,15.678613006590009
261,gaborma01,Marian Gaborik,nhl,139.3125,15.7467912168847
262,brunsre01w,Rebekkah Brunson,wnba,25.642857142857142,15.837465952869662
263,wallabe01,Ben Wallace,nba,70.8125,15.838371764181733
264,2233,Adam Wainwright,mlb,203.33333333333334,15.878880694210316
265,markoan01,Andrei Markov,nhl,141.0625,15.899273755888498
266,2429,Corey Kluber,mlb,206.57142857142858,15.962297807883804
267,forsbpe01,Peter Forsberg,nhl,138.76923076923077,16.004698494437893
268,1692,Brandon Webb,mlb,202.28571428571428,16.028058203329177
269,voracja01,Jakub Voracek,nhl,142.88888888888889,16.09759423218402
270,mingya01,Yao Ming,nba,72.75,16.125999265599148
271,horryro01,Robert Horry,nba,70.6875,16.162022712029703
272,1152,J.D. Drew,mlb,203.21428571428572,16.179550479376722
273,1636,Cliff Lee,mlb,202.92307692307693,16.22018270379567
274,hamptky01w,Kym Hampton,wnba,21.0,16.2210136104121
275,rondora01,Rajon Rondo,nba,76.9090909090909,16.223786383208054
276,wallara01,Rasheed Wallace,nba,73.125,16.298446333859463
277,johnsvi01w,Vickie Johnson,wnba,27.0,16.33153043434377
278,dupreca01w,Candice Dupree,wnba,25.916666666666668,16.404878465680373
279,leeda02,David Lee,nba,76.91666666666667,16.412944873878825
280,fordch01w,Cheryl Ford,wnba,28.142857142857142,16.433641318873608
281,antetgi01,Giannis Antetokounmpo,nba,80.5,16.64474304254519
282,palffzi01,Ziggy Palffy,nhl,134.58333333333334,16.684710348471057
283,thompti01w,Tina Thompson,wnba,26.823529411764707,16.813589243848327
284,nolande01w,Deanna Nolan,wnba,32.55555555555556,16.93086249999606
285,1153,Jim Edmonds,mlb,201.2941176470588,17.029709760795328
286,tangual01,Alex Tanguay,nhl,149.5,17.059433800434544
287,990,Brian Giles,mlb,208.0,17.062275556949448
288,douglka01w,Katie Douglas,wnba,28.785714285714285,17.10895036194898
289,826,Derek Jeter,mlb,212.0,17.13001483462977
290,odomla01,Lamar Odom,nba,79.28571428571429,17.288415858794547
291,73,Curt Schilling,mlb,180.2,17.330269255071475
292,8090,Matt Carpenter,mlb,226.0,17.357081961818075
293,stinsan01w,Andrea Stinson,wnba,28.88888888888889,17.43345767161766
294,9077,Lorenzo Cain,mlb,225.625,17.43987170589185
295,satanmi01,Miroslav Satan,nhl,146.57142857142858,17.446771911352105
296,549,Craig Biggio,mlb,205.1,17.46878362758509
297,mcgratr01,Tracy McGrady,nba,78.8,17.50573661206615
298,roenije01,Jeremy Roenick,nhl,142.95,17.507181897880077
299,261,Moises Alou,mlb,202.8235294117647,17.532986127510778
300,548,Lance Berkman,mlb,222.53333333333333,17.536397273343642
301,1274,Alex Rodriguez,mlb,209.0909090909091,17.54219878282952
302,5038,Josh Donaldson,mlb,221.14285714285714,17.564406221032595
303,blakero01,Rob Blake,nhl,133.1,17.573537837449948
